Q,A,label
안녕,안녕하세요! 무엇을 도와드릴까요?,0
안녕,"안녕하세요, 반가워요! 무엇을 도와드릴까요?",0
안녕하세요,환영합니다!! 무엇을 도와드릴까요?,0
하이,안녕하세요:) 무엇을 도와드릴까요?,0
헬로,안녕하세요! 무엇을 도와드릴까요?,0
반가워,저도 반가워요! 무엇을 도와드릴까요?,0
뭐해?,고객님과 대화하고 있습니다.,0
안녕하십니까,안녕하세요! 무엇을 도와드릴까요?,0
안녕!,"안녕하세요, 무엇을 도와드릴까요?",0
안녕하세요,"안녕하세요, 무엇을 도와드릴까요?",0
안녕,안녕하십니까? 무엇이든 물어보세요!,0
안녕,반가워요! 무엇을 도와드릴까요?,0
안녕,"안녕하세요, 도움이 필요하신가요?",0
어떡하지,고민이 있으신가요? 말씀해보세요! 제가 도와드릴게요.,0
도와줘,무엇을 도와드릴까요?,0
도움이 필요해,고민이 있으신가요? 제가 도와드릴게요.,0
언제부터 언제까지 열어?,영업 시간은 오전 10시부터 밤 9시까지입니다.,1
가게 영업 시간이 어떻게 되나요?,영업 시간은 오전 10시부터 밤 9시까지입니다.,1
영업 시간이 어떻게 돼?,영업 시간은 10:00a.m ~ 09:00p.m입니다.,1
가게 언제 열어?,영업 시간은 오전 10시~밤 9시입니다.,1
매장 운영 시간은?,저희 매장은 오전 10시부터 밤 9시까지 운영합니다.,1
점포는 몇 시부터 몇 시까지 영업하나요?,영업 시간은 오전 10시부터 밤 9시까지입니다.,1
가게는 어떤 시간에 문을 열고 있나요?,저희 가게는 오전 10시부터 밤 9시까지 문을 열고 있습니다.,1
운영 시간이 어떻게 되나요?,영업 시간은 오전 10시부터 밤 9시까지입니다.,1
가게는 어떤 시간대에 운영되나요?,저희 가게는 오전 10시부터 밤 9시까지 운영됩니다.,1
몇 시부터 몇 시까지 가게 문을 열어요?,영업 시간은 오전 10시부터 밤 9시까지입니다.,1
점포 운영 시간이 어떻게 되나요?,운영 시간은 오전 10시부터 밤 9시까지입니다.,1
근무 시간은 어떻게 되나요?,영업 시간은 오전 10시부터 밤 9시까지입니다.,1
근무 시간이 어떻게 되나요?,영업 시간은 오전 10시부터 밤 9시까지입니다.,1
업무 시간은 어떻게 되나요?,영업 시간은 오전 10시부터 밤 9시까지입니다.,1
운영 시간은 어떻게 되나요?,영업 시간은 오전 10시부터 밤 9시까지입니다.,1
언제 영업하나요?,영업 시간은 오전 10시부터 밤 9시까지입니다.,1
언제부터 영업하나요?,영업 시간은 10:00a.m ~ 09:00p.m입니다.,1
언제부터 운영되나요?,영업 시간은 10:00a.m ~ 09:00p.m입니다.,1
언제부터 운영하나요?,영업 시간은 10:00a.m ~ 09:00p.m입니다.,1
언재 문을 여나요?,영업 시간은 10:00a.m ~ 09:00p.m입니다.,1
언제 개장하나요?,영업 시간은 10:00a.m ~ 09:00p.m입니다.,1
언제 오픈하나요?,영업 시간은 오전 10시~밤 9시입니다.,1
언제 끝나요?,영업 시간은 오전 10시~밤 9시입니다.,1
언제 닫나요?,영업 시간은 오전 10시~밤 9시입니다.,1
언제 끝나나요?,영업 시간은 오전 10시~밤 9시입니다.,1
언제 끝날까요?,영업 시간은 오전 10시~밤 9시입니다.,1
언제 마감할 예정인가요?,저희 매장은 오전 10시부터 밤 9시까지 운영합니다.,1
언제 닫을 예정인가요?,저희 매장은 오전 10시부터 밤 9시까지 운영합니다.,1
언제 종료할 예정인가요?,저희 매장은 오전 10시부터 밤 9시까지 운영합니다.,1
언제 문을 닫나요?,저희 가게는 오전 10시부터 밤 9시까지 문을 열고 있습니다.,1
언제 종료되나요?,저희 가게는 오전 10시부터 밤 9시까지 문을 열고 있습니다.,1
언제 마감하나요?,저희 가게는 오전 10시부터 밤 9시까지 문을 열고 있습니다.,1
언제 문을 닫을 계획인가요?,저희 가게는 오전 10시부터 밤 9시까지 운영됩니다.,1
언제 마감할 계획인가요?,저희 가게는 오전 10시부터 밤 9시까지 운영됩니다.,1
운영 시간은 언제인가요?,저희 가게는 오전 10시부터 밤 9시까지 영업합니다.,1
영업 시간,저희 가게는 오전 10시부터 밤 9시까지 영업합니다.,1
시간,저희 가게는 오전 10시부터 밤 9시까지 영업합니다.,1
운영 시간,저희 가게는 오전 10시부터 밤 9시까지 영업합니다.,1
닫는 시간,저희 가게는 오전 10시부터 밤 9시까지 영업합니다.,1
언제 영업하는지 궁금합니다,영업 시간은 오전 10시~밤 9시입니다.,1
영업시간이 궁금합니다,영업 시간은 오전 10시~밤 9시입니다.,1
언제 오픈하는지 궁금해요,영업 시간은 오전 10시~밤 9시입니다.,1
언제 영업하는지 알고 싶어요,영업 시간은 10:00a.m ~ 09:00p.m입니다.,1
언제 닫는지 알고 싶습니다,영업 시간은 10:00a.m ~ 09:00p.m입니다.,1
언제 닫는지 궁금합니다,영업 시간은 10:00a.m ~ 09:00p.m입니다.,1
언제 닫으시는지 궁금합니다,저희 매장은 오전 10시부터 밤 9시까지 운영합니다.,1
언제 열어,저희 가게는 오전 10시부터 밤 9시까지 영업합니다.,1
언제 닫아,저희 가게는 오전 10시부터 밤 9시까지 영업합니다.,1
몇 시부터 영업하는지 궁금합니다,저희 가게는 오전 10시부터 밤 9시까지 영업합니다.,1
몇 시부터 오픈하는지 궁금해요,저희 매장은 오전 10시부터 밤 9시까지 운영합니다.,1
몇 시까지 하는지 궁금해,저희 매장은 오전 10시부터 밤 9시까지 운영합니다.,1
몇 시까지 영업하는 지 알고 싶어,영업 시간은 오전 10시부터 밤 9시까지입니다.,1
몇 시에 열어,영업 시간은 오전 10시부터 밤 9시까지입니다.,1
몇 시에 닫아,영업 시간은 오전 10시부터 밤 9시까지입니다.,1
오픈 언제해,영업 시간은 오전 10시부터 밤 9시까지입니다.,1
오픈 몇 시에 해,영업 시간은 오전 10시부터 밤 9시까지입니다.,1
언제 문을 닫는지 궁금합니다,영업 시간은 오전 10시부터 밤 9시까지입니다.,1
가게 위치가 어떻게 되나요?,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
위치가 어디인가요?,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
위치가 어디야,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
가게가 어디야,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
어디로 가면 돼?,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
어디로 가야 돼?,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
어디로 가야 해?,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
어디에 위치해 있어?,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
위치가 어떻게 돼?,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
가게 위치가 어떻게 됩니까?,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
가게가 어디에 위치해 있습니까?,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
어디로 가면 됩니까?,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
어디로 찾아가면 되나요?,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
가게 위치가 어디야?,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
어디에 있나요?,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
어디에 있습니까?,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
어디 있죠?,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
어디에 위치해 있나요?,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
위치는 어디인가요?,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
어디 계신가요?,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
어디로 가야 하나요?,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
어디로 이동해야 하나요?,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
어디로 가야 할까요?,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
주소가 어떻게 되나요?,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
주소가 무엇인가요?,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
어디에 위치하나요?,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
위치는 어디에 있나요?,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
현재 위치가 어디인가요?,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
현재 위치가 어떻게 되나요?,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
위치,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
주소,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
어디로,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
주소가 필요합니다,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
주소를 알고 싶어요,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
어디로 가야 하는지 알고 싶어,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
어디로 가야 되는지 궁금해,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
주소 뭐야,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
위치가 궁금해,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
위치 알려줘,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
위치를 알려주세요,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
주소를 알려주세요,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
주소 알려주세요,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
위치,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
어디로 가,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
가게 위치가 뭐야,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
매장 주소가 뭐야,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
가게 어딨어,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
매장 어딨어,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
어디 있는지 궁금해,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
어디 있는지 알려주세요,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
주소 알려줘,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
가게 위치,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
가게 주소,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
매장 위치,서울시 강남구 강남대로 160길 23 201호'로 오시면 됩니다.,2
매장 주소가 뭐야,주소는 '서울시 강남구 강남대로 160길 23 201호'입니다.,2
통역사가 있어?,"네, 저희는 통역을 제공합니다! 걱정하지 마세요!",3
통역사가 있나요?,"네, 항상 통역사가 상주하고 있습니다. 걱정하지 마세요!",3
통역 서비스를 받을 수 있나요?,"네, 통역이 가능합니다.",3
통역 서비스가 제공되나요?,"네, 통역 서비스가 제공됩니다. 걱정하지 마세요.",3
통역이 제공되나요?,"네, 저희는 통역을 제공합니다! 걱정하지 마세요!",3
영어가 가능한가요?,물론입니다. 영어 통역사가 정보 전달을 도울 것입니다.,3
대화가 통할까요?,"걱정하지 마세요, 통역사가 원활한 대화를 도울 것입니다!",3
통역 돼?,"물론입니다, 저희는 통역 서비스를 제공합니다.",3
통역이 돼?,물론입니다. 통역사가 고객님을 도와드릴 거예요.,3
통역 서비스가 있어?,네! 통역이 제공됩니다. 걱정하지 마세요!,3
난 한국어를 못 해,걱정하지 마세요. 저희는 통역 서비스를 제공합니다.,3
한국어를 못 하는데,걱정하지 마세요. 항상 통역사가 상주하고 있습니다.,3
한국어를 못 합니다,괜찮습니다! 통역사가 도와드릴 거예요.,3
한국어가 불가능해,괜찮습니다. 저희는 통역 서비스를 제공해 드립니다.,3
